Package_Name,Package_SKU,Component_Product,Product_SKU,Quantity
فطور العيد -,EID-BREAKFAST-PACK-01,عسل سدر ربع كيلو,HONY250M,1
فطور العيد -,EID-BREAKFAST-PACK-01,زيت زيتون بكر قطفة أولى 1لتر,OLIVEOILE1000M,1
فطور العيد -,EID-BREAKFAST-PACK-01,زعتر بري فاخر ربع كيلو,THYME250M,1
فطور العيد -,EID-BREAKFAST-PACK-01,بكج مخللات صفوة الجوف,MQL-PK01,1
مقرمشات صحية,CRACK4,مقرمشات الجبن,CRACKC1,1
مقرمشات صحية,CRACK4,مقرمشات حارة,CRACKH1,1
مقرمشات صحية,CRACK4,مقرمشات السماق,CRACKS1,1
مقرمشات صحية,CRACK4,مقرمشات الزعتر,CRACKZ1,1
نقصة رمضان,RNBP450,عسل سدر 1كيلو,HONY1000M,1
نقصة رمضان,RNBP450,زيت زيتون بكر قطفة أولى 4لتر,OLIVEOILE4000M,1
نقصة رمضان,RNBP450,زعتر بري فاخر 1 كيلو,THYME1000M,1
